YEAR,prRPCO,prRPCOnom,prPPCO,prEPCOmkt,crYECOto,prVCCO,DOMDEF,e_prPPCO,Y262_EMktRct,prENCOmkt,prENSRmkt,prENWHmkt,prENCTmkt,prENSB,crAPCOpri,crAPCOto,e_crAPCOto,crAHCOto,e_crAHCOto,Fert_PPI,e_crYLCOto,crYLCOto,crPRCOto,crIMCOto,e_crIMCOto,crSYCOto,crESCOto,crEXCOto,lsPRHGjpn,Hog_PrdEU6,Hog_PrdUK,SDR_exch,e_crEXCOto,crDMCOOT,POP,prPPWH,All_CPI,RealDispInc,Crn_SeedRate,e_crDMCOFD,crDMCOFD,crDMCOFE,crDMCOto,GCAU,prCPSM,LivestockP,prPPSR,prPPBA,prPPOC,e_crDMCOFE,e_crESCOto
1981,315.9668202,151.6358691,122.4352575,122.4352575,,333.8133246,47.99107355,,,481.2210756,234.4662438,183.8640758,382.0169615,412.7736442,,34032.98459,,29526,,144,,5.711847186,168648,22,,,35361,60737,1396,7184,972,,,,229.465714,146.607363,81.4357559,9.16835752,13.27,,16745,107501,124246,126.5880183,259.1863915,1.305457119,114.4198818,128.1436538,118.4984325,,
1982,233.799594,119.1657195,98.420625,98.420625,6.557988885,329.958496,50.96917298,,645.4413648,339.452271,153.1076083,164.3145841,85.45919026,305.8872537,,33126.48512,,30159,,144,,6.837859345,206223,14,,241598,64433,50720,1427,7135,977,1.1104,,2184.50147,231.664458,135.584253,86.44916907,9.314590685,13.27,,18629,107816,126445,126.0901267,216.7363953,1.348677455,88.4053422,113.90547,129.5215425,,
1983,237.5843095,125.8740781,100.3890375,100.3890375,6.665804637,317.0349363,52.98080435,,669.1737116,380.2872547,170.3097877,147.6333817,183.718498,289.9397352,,24365.00592,,29428,,137,,7.108230257,209181,12,,273626,89491,46264,1429,7303,1037,1.0767,,3556.165184,233.791994,126.765765,89.2299465,9.724126081,13.27,,21705,116166,137871,128.9316074,221.4983704,1.306919538,97.2238302,100.1265825,102.6527119,,
1984,274.1915472,150.4253128,126.3720825,126.3720825,6.773620388,328.1299235,54.86139684,,855.9965145,567.9578158,210.3055451,159.532191,228.9353324,455.1334175,,32584.20419,,20833,,143,,5.089569433,106031,43,,195565,25561,47917,1424,7454,955,1.0353,,4064.188782,235.824902,128.970387,93.03238646,10.37314167,13.28,,23625,98462,122087,128.2946452,224.0006158,1.398905034,107.8060158,113.4461738,111.6089888,,
1985,217.9082899,123.3707829,103.5384975,103.5384975,6.88143614,338.0388097,56.61591991,,712.4935585,411.1178571,157.709292,161.5076466,129.4799841,316.7033158,,33750.10819,,29096,,135,,6.697862249,194881,44,,220486,41866,46999,1531,7493,995,1.0073,,5893.073733,237.923795,124.561143,96.33899255,10.66770939,13.27,,27108,104513,131621,128.7006309,150.3552171,1.258227754,91.491813,105.1788413,115.0537106,,
1986,179.0888129,103.4378172,87.7911975,87.7911975,6.989251891,297.5383997,57.75783285,,613.5947932,350.3788225,121.4679654,150.7685208,177.1754202,277.8324172,,30990.95045,,30436,,124,,7.407247996,225447,251,,267564,102609,31176,1552,7716,1022,1.1569,,6883.719749,240.132887,113.170596,98.19033782,11.07669577,14.24,,29274,104505,133779,128.4983844,183.2040868,1.319248573,76.059459,90.9406575,84.74015813,,
1987,127.1601225,75.31955223,59.052375,59.052375,7.097067643,290.075847,59.23205383,,419.0986998,154.2860782,45.42603865,99.4819706,18.65127914,256.2584349,,26790.29668,,27886,,118,,7.492792082,208944,45,,311598,124001,37911,1581,7894,1025,1.2666,,7366.342167,242.288918,88.919754,101.777541,11.26507246,14.24,,31330,118356,149686,129.8198323,195.4507632,1.333601925,54.013239,73.94669625,83.36226938,,
1988,158.419038,97.12002408,76.374405,76.374405,7.204883395,302.9499859,61.30577822,,550.2686824,282.8069991,85.49015012,109.0560943,177.1094182,340.5844785,,27404.20725,,24081,,130,,7.522237449,181143,87,,305231,108186,43599,1578,8151,1048,1.3517,,7089.469306,244.498982,94.431309,105.9172802,11.7417349,14.24,,31794,121652,153446,132.3522452,263.8381397,1.369258153,67.0205088,83.13262125,107.4753225,,
1989,187.3878028,119.3465035,99.995355,99.995355,7.312699146,329.6866812,63.68957944,,731.2359471,451.698584,122.266641,194.9971602,67.10007019,428.5914421,,29267.79209,,23573,,136,,5.310906546,125194,71,,233451,49035,51525,1594,8267,981,1.2912,,7300.299099,246.81923,136.686564,111.0298569,11.9979417,14.24,,32965,99926,132891,131.3781313,278.2232957,1.457354079,89.287191,128.60295,179.8144819,,
1990,173.8163463,114.798853,92.90907,92.90907,7.420514898,331.6388059,66.04606268,,689.4331381,407.8138145,98.82265272,198.367844,144.4210253,296.1306559,,30014.0354,,26217,,129.340507,,7.297555022,191320,48,,240403,34151,60132,1555,8198,975,1.3329,,8163.939215,250.181,136.686564,117.023236,12.13239821,14.24,,34800,111320,146120,130.2983499,205.5589557,1.562190515,82.673325,111.1496925,102.6527119,,
